pays,ville,nom,poste
United States,Turlock,Carnegie Arts Center,Marketing Director
Mexico,Ciudad de México ,Museo de Arte Carrillo Gil,Social media manager
France,Baud,Cartopole,médiatrice culturelle
Spain,Burgos,La Cartuja de Miraflores,RESPONSABLE DEL DEPARTAMENTO DE ARTE Y CULTURA
Spain,Barcelona,Casa Batlló,Community Manager
Japan,Tokyo,Casa BRUTUS,デジタルメディアディレクター
Italy,Valguarnera Caropepe,Casa Museo Caripa,Direttore
Spain,Sevilla,Museo Casa de la Ciencia de Sevilla,Responsable de Comunicación y RRII
Brasil,São Paulo,Casa das Rosas - Espaço Haroldo de Campos de Poesia e Literatura,Assessora de Comunicação
Brasil,Campos do Jordão ,Museu Casa da Xilogravura ,Diretora 
Spain,Las Palmas de Gran Canaria,Casa de Colón,Head of broadcast
Puerto Rico,San Juan,Museo Biblioteca La Casa del Libro,Directora ejecutiva 
Brasil,Brodowski,Museu Casa de Portinari,Analista de Comunicação
Spain,Granada,Casa de Zafra,Técnico en Patrimonio Histórico
Canada,Toronto,Casa Loma,Marketing Coordinator
Chile,Santiago,Casa Museo Eduardo Frei Montalva,Encargada de Comunicaciones
Colombia,Popayán,Casa Museo Negret & Museo Iberoamericano de Arte Moderno de Popayán MIAMP,Director
United States,Los Angeles,California Science Center,Communications Manager
Italy,Parma,Castelli del Ducato di Parma e Piacenza,Ufficio stampa comunicazione progetti relazioni esterne
Italy,Santena,Associazione Amici della Fondazione Cavour,Responsabile della comunicazione
Italy,Gioia del Colle, Museo Nazionale Archeologico ,Direzione Museo
Italy,Roma,Catacombe San Sebastiano,Coordinatore
Spain,Barcelona,Catalan Museums,CEO
Spain,Barcelona,La Pedrera - Casa Milà,Social Media Manager
Russia,Saint-Petersburg,The State Museum St Isaac’s Cathedral – THE MUSEUM COMPLEX,smm-специалист
Russia,Saint-Petersburg,Cat Museum,Director
France,Tours,centre de création contemporaine olivier debré,Chargée des Publics
Mexico,Texcoco de Mora,Centro Cultural Mexiquense Bicentenario,Jefa de la Unidad de Relaciones Públicas y Medios 
Argentina,Olavarría,Centro Cultural San José,Responsable Departamento Educativo
France,Montbéliard,Pavillon des sciences,Secrétaire
France,Cran-Gevrier,La Turbine sciences,Chargée de la communication
France,Cahors,Carrefour des Sciences et des Arts,Médiatrice scientifique
France,Saint-Etienne,CCSTI La Rotonde,Chargé de projets
Spain,Ourense,Centro Cultural Marcos Valcárcel Diputación Ourense,Auxiliar administrativo del Centro Cultural
Mexico,Ciudad de México ,Centro Cultural Universitario Tlatelolco,Community manager
Canada,Saskatoon,Children's Discovery Museum on the Saskatchewan,Manager
France,Nancy,"Théâtre de la Manufacture, Centre Dramatique National Nancy-Lorraine",administratrice
Spain,Madrid,Universidad Complutense,Investigadora en Museos y TIC
Italy,Milano,Cenaconme,Ideatrice
Belgium,La Louvière,Centre de la Grvaure et de l'Image imprimée,communication
United Kingdom,London ,Centre of the Cell,Head of Learninf
France,Paris,Centre Pompidou,Chargé de projets numériques
República Dominicana,Santiago ,Centro León,"Coordinadora General de Educación, Animación y Cominicaciones"
Spain,Santa Cruz de La Palma,CENTRUM LA PALMA,Gérant
Luxembourg,Luxembourg,Cercle Cité Luxembourg,Chargée de communication
United States,Winter Park,Cornell Fine Arts Museum,Member and Guest Relations Coordinator
France,Les Lucs-sur-Boulogne,Historial de la Vendée,Chargée de Promotion Culturelle
Russia,Chaykovskiy,Chaykovskaya khudozhestvennaya galereya,администратор сайта
France,Paris,Chantiers du Cardinal,Chargée du développement des réseaux
France,Chantilly,Domaine de Chantilly,Responsable Webmarketing
United States,Milwaukee,Charles Allis Art Museum,Visitor Services Manager
United Kingdom,Firle,The Charleston Trust,Communications and Marketing Manager
United States,Hastings,Historic Charlton Park,Education Coordinator
United States,Charleston,The Charleston Museum,PR and Events Coordinator
France,Paris,Musée de la Chasse et de la Nature,Chargée du développement des publics
France,Amboise,Château d'Amboise,Chargée de communication
France,Andrézieux-Bouthéon,Château de Bouthéon,Directeur
Switzerland,Veytaux-Chillon,Château de Chillon,Pilet
France,Blois,Château royal de Blois,Responsable du développement touristique / communication
