pays,ville,nom,poste
United Kingdom,Okehampton,Historic Collections of Devon & Cornwall Police,Project Assistant
Italy,Bassano del Grappa,Poli Museo della Grappa,Responsabile Poli Museo della Grappa 
Italy,Firenze,Polo Museale Fiorentino,Responsabile comunicazione
Italy,Torino,Polo Reale Torino,Responsabile comunicazione web
Russia,Moscow,Polytechnic Museum,Social Media Manager
France,Metz,Centre Pompidou-Metz,Chargée de communication multimédia
Spain,Salamanca,Ponto de Memória: Memória Oral da Imigração Brasileira na Espanha,Titular
France,Vers-Pont-du-Gard,SITE DU PONT DU GARD,Community Manager
United Kingdom,Poole,Poole Museum Service,Museum and Arts Manager
France,Douarnenez,Le Port-musée,Médiateur culturel
United Kingdom,Portsmouth,Portsmouth City Museum,Collections Registrar
United Kingdom,London,The British Postal Museum & Archive,Digital Media Manager
Japan,Tokyo,Postal Museum Japan,学芸員
Finland,Tampere,Finnish Postal Museum,Museum director
United Kingdom,Stoke-on-Trent,The Potteries Museum & Art Gallery,Assistant Curator
United Kingdom,Birchington ,The Powell-Cotton Museum ,Social Media Marketing Assistant 
United States,Canyon,Panhandle-Plains Historical Museum,Marketing Manager
Japan,Fukuoka,Fukuoka Pref. World Heritage ,課長
Brasil,Itatiba,Museu Francisco de Paula Lima - Prefeitura de Itatiba,Coordenadora de Comunicação Social
France,Paris,Musée de la préfecture de police,Chef de département Internet et multimédia (service communication)
United States,Philadelphia,Presbyterian Historical Society,Development Assistant
Mexico,Guanajuato,Museo de Arte Primer Depósito,Directora del Museo
Croatia,Split,Prirodoslovni Muzej i zoološki vrt,curator
Denmark,Horsens,Prison Museum Horsens,Head of Department
Japan,Tokyo,Agency for Cultural Affairs Public Relations Magazine Buncul,係員
United Kingdom,Oxford,Pitt Rivers Museum,Curator and Professor
Italy,Torre Annunziata,pro loco oplonti marina del sole,membro del direttivo
Belarus,Minsk,Muzej Pryrody і ekalogіі,Заведующий сектором выставочного зала
United States,Palm Springs,Palm Springs Art Museum,Marketing Director
Netherlands,Eindhoven,PSV Museum,Coördinator Marketing & Communicatie
Spain,Cartagena,Cartagena Puerto de Culturas,Adjunta a Gerencia
United States,Saint-Louis,Pulitzer Arts Foundation,Manager of Audience Development
Canada,Niagara-on-the-Lake,The Niagara Pumphouse Arts Centre,Marketing Intern
United States,Syracuse,The Point of Contact Gallery,Administrative and Marketing Coordinator
Qatar,Doha,Qatar Museums,Social Media Specialist 
Australia,Brisbane,Museum Queensland,Communication Assistant
France,Paris,musée du quai Branly,Chargé de projets nouveaux médias
United States,Flushing,Queens Historical Society,Education & Outreach Director
Austria,Wien,quartier21,Social Media/Redaktion
United States,New York City,Queens Museum,Communications & Digital Media Manager
Italy,Venezia,Fondazione Querini Stampalia,Social Media Manager
Colombia,Bogotá,Casa Museo Quinta de Bolívar,Divulgación Cultural 
Australia,Brisbane,QUT Art Museum,Senior Marketing Officer
Germany,Berlin,Deutsches Currywurst Museum Berlin,Mascot
Japan,Tokyo,Roppongi Art Night,広報・プロモーション担当
United Kingdom,London,Royal Air Force Museum,Marketing Manager
Turkey,İstanbul,Rahmi M. Koç Müzesi,Marketing and PR Manager
United Kingdom,Rainham,Rainham Hall (National Trust),Marketing and Events Assistant (SOCL3 Trainee)
United Kingdom,Exeter,Royal Albert Memorial Museum & Art Gallery,Collections and Audiences Assistant
United Kingdom,Bath,Revival Arts of Bath,Admin and Marketing Assistant
United Kingdom,Cambridge,Royal Anglian Regiment Museum,Curator
Italy,Ravenna,Ravenna Mosaici,"Dipendente, Responsabile Ufficio Valorizzazione e Promozione"
United Kingdom,Rayleigh,Rayleigh Windmill,Leisure Assistant
United Kingdom,Rayleigh,Rayleigh Town Museum,IT Manager
Belgium,Bruxelles,Museum of Natural Sciences,Science Communicator
United Kingdom,Edinburgh,RCAHMS,Public Engagement Manager
United Kingdom,Birmingham,Research and Cultural Collections,Collections Assistant 
United Kingdom,London,Royal College of Nursing Library and Heritage Centre,Events & Exhibitions Coordinator
United Kingdom,London,Royal College of Physicians museum,Rare books and special collections librarian
United Kingdom,Glasgow,Royal College of Physicians and Surgeons of Glasgow,Modern Resources Officer
Canada,London,Royal Canadian Regiment Museum,Collections Registrar
Australia,Orange,Central NSW Museums,Support officer
Malta,B'Kara,ReCoop Ltd,Art Historian 
United Kingdom,Ilford,Redbridge Museum,Museum Assistant 
Canada,Red Deer,Red Deer Museum + Art Gallery,Marketing & Fund Development Associate
Spain,Lugo,RedeMuseísta de Lugo,Gerente
United Kingdom,Eastbourne,Redoubt Fortress and Military Museum/Eastbourn Heritage Service,Curator
United Kingdom,Eastbourne,Redoubt Fortress & Military Museum,Museum Supervisor
Canada,Montreal,Redpath Museum/ McGill University,Public Program and Science Outreach administrator
Belgium,Antwerp,Red Star Line Museum,Digital communication 
France,Marseille,MUSEE REGARDS DE PROVENCE,Directrice
Italy,Caserta,Reggia di Caserta,capo ufficio stampa e p.r.
Italy,Parma,Teatro Regio di Parma,consulente web
Japan,Sakura,National Museum of Japanese History,博物館事業課広報・普及係
Argentina,Buenos Aires,remcaa,equipo de gestión
United Kingdom,Arborfield,The REME Museum of Technology,Education Officer
Canada,Vancouver,Rennie Collection,Administrative Assistant
United States,Reno,Wilbur D. May Museum,Assistant Curator
France,Caen,Réseau des musées de Basse-Normandie,Coordinatrice du Réseau des musées
Canada,Moncton,Place Resurgo Place,Heritage Development Officer - Community Relations
Iceland,Reykjavík ,The Settlement Exhibition,museum education
Canada,Wetaskiwin,Reynolds-Alberta Museum,Marketing and Communications Assistant
United Kingdom,Egham,"Art Collections Royal Holloway, University of London ",Curator
United Kingdom,London,The Royal Institution,Digital Communications Officer
United Kingdom,London,Royal Institute of British Architects,Press and Digital Assistant
Canada,Toronto,Ryerson Image Centre,Marketing and Communications Officer
Canada,Sutton,Musée des communications et d'histoire de Sutton,Président
United States,Richmond,Riggs Ward Design,Associate 
United States,Providence,Rhode Island Historical Society,Communications and Digital Outreach Coordinator
Netherlands,Amsterdam,Rijksmuseum,Web editor
Sweden,Visby,Swedish Exhibition Agency,Webmaster
United States,Providence,RISD Museum,Press Office
United Kingdom,Henley on Thames,River & Rowing Museum,Head of Marketing & Communications
United Kingdom,Glasgow,Riverside Museum,Programme Officer
Italy,Rivoli,Castello di Rivoli Museo d'Arte Contemporanea,Promozione  e social media manager
Spain,Madrid,"Real Jardín Botánico, CSIC",Community manager
Russia,Petrozavodsk,Museum of Fine Arts of Republic of Karelia,Заведующий отделом Развития
United Kingdom,Reading,University or Reading Herbarium,Curator
United Kingdom,Great Missenden,The Roald Dahl Museum and Story Centre,PR and marketing officer
United Kingdom,Ayr,Robert Burns Birthplace Museum,Learning and Social Media Intern
United States,Huntsville,U.S. Space & Rocket Center,Digital Communications 
United States,Corning,The Rockwell Museum,Marketing & Digital Communications Specialist
Canada,Saint-Catharines,Rodman Hall Art Centre,Director/Curator
Canada,Vancouver,Roedde House Museum,Museum Manager
United Kingdom,London,Royal Observatory Greenwich,Digital Marketing Officer
United Kingdom,Caerleon,National Roman Legion Museum,Events and Marketing Officer
Canada,Toronto,Royal Ontario Museum,Social Media Coordinator
United States,Waltham,Rose Art Museum,Collections Assistant
Canada,Hamilton ,Rosenshein Museum,Curator
Canada,Rossland,Rossland Museum & Discovery Centre,Museum Director
Russia,Rostov,"State museum-preserve ""Rostov Kremlin""",ответственный редактор
United Kingdom,Leeds,Royal Armouries,Communications Officer
United Kingdom,London,The Royal Academy of Arts,Social Media and Content Manager
United Kingdom,London,Royal Academy of Music Museum,Marketing Co-ordinator
Canada,Edmonton,Royal Alberta Museum,Marketing Officer
Canada,Victoria,Royal BC Museum,Program Producer in Learning Department
United Kingdom,Truro,Royal Cornwall Museum,Marketing Officer
United Kingdom,London,Royal Opera House,Content Producer (Social Media and News)
Canada,Regina,Royal Saskatchewan Museum,Exhibit Digitial Designer
Canada,Drumheller,Royal Tyrrell Museum of Palaeontology,"Head, Marketing & Public Relations"
United Kingdom,Royston,Royston & District Museum & Art Gallery,Museum Assistant
United Kingdom,Warwick,Royal Regiment of Fusiliers Museum (Royal Warwickshire),Curatorial Officer
Latvia,Riga,Museum of Romans Suta and Aleksandra Beļcova,Communication specialist
United Kingdom,Warwick,Heritage and Culture Warwickshire,Marketing Co ordinator
United States,New York City,The Rubin Museum of Art,Assistant Manager of Digital Engagement
Russia,Moscow,Central Andrey Rublev Museum of acient rusian culture and art,Senior Researcher
United Kingdom,Rugby,Rugby Art Gallery and Museum,Administration Officer
United Kingdom,Caernarfon,Royal Welch Fusiliers Museum,Museum Development Manager
United States,Shreveport,R.W. Norton Art Gallery,Coordinator of Tours and Educational Programs
United Kingdom,South Shields,South Shields Museum,Communications Officer
United Kingdom,Leeds,The Stanley & Audrey Burton Gallery,Marketing and Events Officer
United Kingdom,Norwich,The South Asian Decorative Arts and Crafts Collection (SADACC) Trust,Curator
France,Peaugres,Safari de Peaugres,Manager de la communication numérique
United States,Boston,Safdie Architects,Communications
United Kingdom,Norwich,Sainsbury Centry for Visual Arts,Access & Communications Support
France,Blois,Saint-Gobain Archives,Responsable Communication Digitale
Japan,Saitama,Saitama Prefectural Museum of History and Folklore,企画担当　学芸員
Japan,Nagatoro,Saitama Museum of Natural History,主任
Spain,Pontevedra,Sala X | Universidad de VIgo,Becaria
United Kingdom,Salisbury,The Salisbury Museum,Marketing & Admin Officer
United Arab Emirates,Dubai,Salsali Private Museum,Art Educator
Turkey,Istanbul,SALT,Web and Social Media Editor
United States,San Antonio,San Antonio Museum of Art,Communication Manager
Australia,Adelaide,South Australian Maritime Museum,Director
United States,Norman,Sam Noble Museum,Publications and Promotions Specialist
United States,Dallas,The Ann & Gabriel Barbier-Mueller Museum: The Samurai Collection,Marketing Coordinator
Japan,Tottori,THE SAND MUSEUM,砂の美術館事務所スタッフ
Mexico,Ciudad de México ,Antiguo Colegio de San Ildefonso,Coordinadora de Comunicación
Argentina,San Mayol,Museo Histórico de San Mayol,asesor externo
Japan,Mie,sanpakukyo,桑名市博物館学芸員
Italy,Firenze,Opera di Santa Croce ,Museum Outreach
Brasil,Santos,MEMORIAL DAS CONQUISTAS DO SANTOS FUTEBOL CLUBE,Coordenadora
Spain,Barcelona,Sant Pau Art Nouveau Site,Marketing Coordinator
France,Mâcon,Archives départementales de Saône-et-Loire,Chargée de l'action culturelle et pédagogique
Russia,Sarapul,Museum of History and Culture of Cis-Prikamye,ученый секретарь
Russia,Volgograd,Staray Sarepta,пресс-секретарь
Canada,Regina,Museums Association of Saskatchewan,Communications Coordinator
Canada,Mississauga,Museums of Mississauga,Chief curator o
Italy,Campobasso,Soprintendenza Beni Artistici e Paesaggio del Molise,dipendente SAP Molise
United Kingdom,Stafford,Stafford Borough Council,Marketing and Events Assistant
United States,Paris,Sam Bell Maxey House State Historic Site,Curator
United States,Santa Barbara,Santa Barbara Museum of Art,PR Coordinator
Italy,Matera,Museo di Palazzo Lanfranchi,Responsabile Ufficio Stampa e Comunicazione Istituzionale
United Kingdom,Stratford-upon-Avon,Shakespeare Birthplace Trust Learning and Education,International Shakespeare Lecturer
Canada,Scarborough,Scarborough Archives,Social Media Coordinator
Canada,Toronto,Scarboroguh Museum,Museum Program Officer 
Germany,Frankfurt am Main,Schirn Kunsthalle Frankfurt,PRESS / PR
Germany,Koenigstein,Festung Koenigstein,Onlinemarketing
Canada,Fredericton,Science East,Communication
France,Toulouse,Science Animation,Chargé de projets Innovation et Communautés
United Kingdom,Newcastle Upon Tyne,Life Science Centre,Digital Marketing Manager
United States,"Washington, D.C. ",Association of Science-Technology Centers,Communications Manager
Denmark,Aarhus C,"Science Museums, Aarhus University",Student of ICT-didactically design
United Kingdom,London,Science Museum,Press Officer
United States,Saint-Paul,Science Museum of Minnesota,Webmaster
France,Orsay,Sciences Aco,Présidente de Sciences Aco
Australia,Melbourne,Scienceworks,"Brand Manager, Family Audiences"
Canada,Vancouver,Science World British Columbia,Digital Communications Coordinator
Ireland,Dublub,Science Gallery Dublin,Marketing & Communications Manager
Canada,Ottawa,Musée des sciences et de la technologie du Canada,"Agente, Médias Sociaux"
Canada,Ottawa,Canada Science and Technology Museum,social media officer
Canada,Ottawa,Canada Science and Technology Museums Corporation,Social Media Co-ordinator
United Kingdom,Lamberhurst,"Scotney Castle, National Trust",House Steward
United Kingdom,Ayr,Scottish Golf Museum,Owner
United States,Brookings,South Dakota Agricultural Heritage Museum,Social Media Manager
United States,Brookings,South Dakota Art Museum,Marketing & Development
United States,San Diego,San Diego Natural History Museum,PR and Social Media Manager
Canada,London,The Secrets of Radar Museum,Curator/Manager
Brasil,vitoria,Secretaria de Estado da Cultura do Espírito Santo,Assessora de Comunicação
United Kingdom,North Tyneside,Segedunum Roman Fort,communications officer
Yemen,Seiyun Hadhramaut ,Seiyun Museum,Senior Museum Guide& page admin
France,Périgueux,Semitour Périgord,Assistant développement
Germany,Frankfurt am Main,Senckenberg Gesellschaft für Naturforschung,Presse und Social Media
South Korea,Seoul,Seoul Museum of History,Assistant Director
United States,New York City,National September 11 Memorial & Museum,Social Media Manager 
United Kingdom,London,Serpentine Galleries,Senior Digital Producer
Puerto Rico,Ponce,Museo Castillo Serrallés,Mercadeo y Actividades
Portugal,Porto,Fundação de Serralves,"Assessoria de Comunicação, Gestão de Redes"
France,Sèvres ,Sèvres - Cité de la céramique ,Chef du service des éditions et du multimédia
United States,San Francisco,San Francisco Museum of Modern Art,Social Media Associate
United States,San Francisco,Museo Italo Americano,Assistant Curator & Communications Director
United States,West Palm Beach,South Florida Science Center and Aquarium,Director of Marketing
United States,Springfield,Springfield Art Museum,Assistant Director
Russia,Moscow,Vernadsky State Geological Museum of Russian Academy of Sciences,pr-manager
United Kingdom,Stratford-upon-Avon,Shakespeare Birthplace Trust,Digital Coordinator
Canada,East Gwillimbury,Sharon Temple National Historic Site & Museum,Education & Program Co-ordinator
United States,Lincoln,Sheldon Museum of Art,PR & Marketing Manager
United Kingdom,Sherborne,Sherborne Museum,Curator
France,Paris,MEMORIAL DE LA SHOAH,Responsable communication
United Kingdom,London,Natural History Museum Online Shop,Ecommerce Manager
United States,Lake Oswego,ShopforMuseums.com,President
United Kingdom,Shrewsbury,Shropshire Regimental Museum,Curator
Japan,Shunan,Shunan City Museum of Art and History,学芸課
United Kingdom,Biggleswade,Shuttleworth,Communications Manager
Spain,León,MUSEO SIERRA-PAMBLEY,RESPONSABLE DEL MUSEO
United States,"Washington, D.C.",Smithsonian Gardens,Education Specialist
Italy,Livorno,Sillabe,Social Media Manager
Italy,Calvi dell'Umbria,Museo del Monastero delle Orsoline,Responsabile Gestione servizi aggiuntivi
Canada,Minesing,Simcoe County Museum,Museum Curator
Russia,Sinsk,Historical museum s.Sinsk,помощник руководителя музея
Germany,Berlin,TBO INTERACTIVE,MD | Strategic Creation
United States,"Washington, D.C.",Smithsonian Early Enrichment Center,Museum and Community Resource Specialist
Brasil,Porto Alegre,SEM/RS,Estagiária do curso de Museologia
United States,Santa Fe,SITE Santa Fe,Social Media and Digital Communications Coordinator
United States,Dallas,The Sixth Floor Museum at Dealey Plaza,Librarian/Archivist
Sweden,Stockholm,The Maritime Museum,Web editor
Denmark,Skagen,Skagens Museum,Community manager
Norway,Kristiansand,SKMU,Curator
Sweden,Skokloster,Skokloster Castle,Communication Officer
United States,Acoma,Sky City Cultural Center & Haak'u Museum,Assistant Curator
Slovenia,Ljubljana,Slovenian cinematheque,"curator, head of the museum department"
United States,Boston,"Paul S. Russell, MD Museum of Medical History and Innovation",Director
United States,San Luis Obispo,San Luis Obispo Museum of Art,Press Relations Manager
Sierra Leone,Freetown,Sierra Leone National Railway Museum,Marketing officer
United States,Saint-Louis,Saint Louis Science Center,Marketing Assistant
United States,Port Orchard,Sidney Museum and Arts Association,Marketing Chair
Germany,München,Staatliches Museum Aegyptischer Kunst,Museumspädagogin
Italy,Monte Castello di Vibio,"Concordia's Theater APS, the smallest theater in the world",Digital communication specialist
Italy,Siena,Santa Maria della Scala,Funzionario Culturale
France,Paris,Musée du Sourire,Conservatrice
United States,"Washington, D.C.",Smithsonian,Public Affairs Specialist
United States,"Washington, D.C.",Smithsonian Asian Pacific American Center,Multimedia Producer
United States,"Washington, D.C.",Smithsonian Institution Archives,"Head of Web, New Media, Outreach"
United States,"Washington, D.C.",Smithsonian Center for Folk,Editor
United States,"Washington, D.C.",The National Museum of the American Indian,Public Affairs Specialist
Denmark,Copenhagen,SMK - The National Gallery of Denmark,Head of digital communication
United States,Santa Monica,Santa Monica Museum of Art,White
Italy,Ugento,Sistema Museale Ugento,Direzione
United States,Suffolk,Suffolk-Nansemond Historical Society,Executive Director
Russia,Sochi,Sochi Art Museum,Scientific specialist
Netherlands,Drunen,Softplace,Educator
Canada,Sombra,Sombra Township Museum,Curator
United States,New Braunfels,The Sophienburg New Braunfels Archives and Museum of History,Support Services
Sweden,Nyköping,Sormlands museum,Antiquarian
Denmark,Copenahgen,The Royal Library,Communication Coordinator
United Kingdom,London,South Bank London,Marketing Assistant
Australia,Ballarat,Sovereign Hill,Marketing Executive
Italy,Roma,Sovrintendenza Capitolina ai Beni Culturali,Social Media
Russia,Moscow,The State central museum of contemporary history of Russia,Специалист пресс-центра
United States,Houston,Space Center Houston,Digital Media Lead
United States,Lawrence,Spencer Museum of Art,Communications Coordinator
Germany,Speyer,Abteilung Kulturelles Erbe Speyer,Leiter der Abteilung
United States,Springfield,Springfield Museums,Social Media Associate
United States,Saint-Petersburg,St. Petersburg Museum of History,Marketing Director
Italy,Piacenza,Castello di San Pietro in Cerro,Social Media Manager e Content Curator
Netherlands,Utrecht,The Dutch Railway Museum,Online marketeer
United States,Spencerport,Spencerport Depot & Canal Museum,Assistant Director
Turkey,Istanbul,Sakip Sabanci Muzesi,Editorial Content and Exhibition Project Specialist
United Kingdom,Glasgow,Scotland Street School Museum,Learning and Access Curator
Sweden,Stockholm ,Stockholms stadsmuseum,Communications officer
Germany,Frankfurt am Main,Städel Museum,Content Management
United Kingdom,Saint-Agnes,St Agnes Museum,Volunteer
United Kingdom,Ely,The Stained Glass Museum,Visitor Services Assistant
United Kingdom,Saint-Andrews,St Andrews Preservation Trust Museum,Curator
Russia,Saint-Petersburg,The State Hermitage Museum,менеджер Отдела по работе со СМИ
United States,O'Fallon,St. Charles County Arts Council / Lillian Yahn Gallery,President
Canada,Saint-Catharines,St. Catharines Museum and Welland Canals Centre,Curator
Netherlands,Amsterdam,Stedelijk Museum Amsterdam,webeditor
United Kingdom,North Shields,Stephenson Railway Museum ,communications officer
Canada,Surrey,Historic Stewart Farm,Curator
Germany,Hamburg,Museum für Kunst und Gewerbe,Vermittlung
United Kingdom,Glasgow,St Mungo Museum of Religious Life and Art,Learning and Access Curator
United States,New Windsor,Storm King Art Center,Communications Associate
United Kingdom,Bishop's Stortford,Bishop's Stortford Museum,Dorian Knight
United Kingdom,London,St Paul's Cathedral Collections Department ,Head of Collections
United Kingdom,Bristol,The Ken Stradling Collection,Volunteer
Canada,Strathroy,Museum Strathroy-Caradoc,Exhibits & Programming Coordinator
United States,Portsmouth,Strawbery Banke Museum,Education
Italy,Nichelino,Palazzina di Caccia di Stupinigi,Responsabile PR e Social Media 
Spain,Santurtzi,Museo Santurtzi Itsasoa ,Informador y guia turística
United Kingdom,Liverpool,Sudley House,Media Assistant 
United Kingdom,Chepstow,Monmouthshire Museums Supporters Scheme,Museums Fundraising Officer
United Kingdom,Edinburgh,Surgeons' Hall Museums,Marketing & Visitor Services Officer
United Kingdom,Camberley,Surrey Heath Museum,Museum Officer
United States,Black Mountain,Swannnanoa Valley Museum,Volunteer and Special Events Manager
Australia,Boyanup,Boyanup Foundation Inc,President
Australia,Sydney,Sydney Living Museums,Digital Marketing Manager
United States,Sylvania,Sylvania Historical Village,Executive Director
Japan,Yawata,Shoukadou Garden・Art Museum,主幹
United States,Tacoma,Tacoma Art Museum,Content Marketing Manager
Laos,Luang Prabang,Traditional Arts and Ethnology Centre,Director of Marketing and Development
Japan,chiba,bluediary,コーディネーター
Japan,Takaoka,Takaoka Art Museum,学芸員
Argentina,Buenos Aires,Tam Muro,Diseñador
Japan,Nagano,tanakahonke museum,学芸員
Japan,Mie,Mie Prefectural Art Museum,学芸普及課長
United States,Elmira,Tanglewood Nature Center and Museum,Community Relations Manager
United Kingdom,Bovington,The Tank Museum,Assistant Marketing Manager
Japan,Shinhokamachi,Tachibana Museum,館長
United Kingdom,London,Tate,Digital Marketing Officer
United Kingdom,Liverpool,Tate Liverpool,Marketing Manager
Canada,Thunder Bay,Thunder Bay Museum,Education & Outreach Coordinator
United States,Seattle,The Seattle Children's Museum,Admission and Retail Associate
United States,Charlottesville,Thomas Jefferson's Monticello,Manager of Digital Learning
Germany,Mannheim,TECHNOSEUM,Online-Redaktion
Italy,Venezia,Palazzo Grassi Teens,Servizi Educativi
Japan,Tokyo,Tokyo Metropolitan Teien Art Museum,広報
United States,Savannah,Telfair Museums,Digital Communications Coordinator
Russia,Saint-Petersburg,The Museum of Telephone History,Менеджер спецпроектов
United States,New York City,The Tenement Museum,Communications Manager
United Kingdom,Leeds,Thackray Medical Museum,Learning Manager
United Kingdom,Leeds,Thackray Medical Museum,Marketing Officer
United Kingdom,Leeds,Thackray Medical Museum,Curator
Switzerland,Zurigo,The Design Pot,Founder
United Kingdom,London,Shakespeare's Globe,Digital Manager
United Kingdom,Coventry,Herbert Art Gallery & Museum,Marketing & Communications Assistant
United States,Farmville,The Longwood Center for the Visual Arts,PR & Marketing Coordinator
South Korea,Seoul ,National Museum of Korea,Communications & Social Media & Online Public Relations
United Kingdom,Havant,The Spring Arts & Heritage Centre,Marketing Officer
United Kingdom,Leeds,The Tetley,Artistic Director
United Kingdom,Swansea,National Waterfront Museum,Marketing Officer
Canada,Hamilton,The Art Gallery of Hamilton,Social Media & Digital Marketing Coordinator
United States,Ridgefield,The Aldrich Contemporary Art Museum,Communications Director 
Russia,Moscow,The Pushkin State Museum of Fine Arts,Контент-менеджер социальных сетей
Russia,Saint-Petersburg,St.petersburg state musem of theatre and music ,Методист
France,Nouméa,Théâtre de l'île,Responsable de la communication
France,Paris,Odéon-Théâtre de l'Europe,Chargé du développement des publics
United States,Baltimore,American Visionary Art Museum,Director of Communications
Greece,Athens,Benaki Museum,Head of Communication Dept
United Kingdom,Barnard Castle,The Bowes Museum,Digital Communications & Fundraising Officer
United States,Los Angeles,The Broad,Marketing Assistant
United States,Galveston,The Bryan Museum,Media Manager
United Kingdom,Beaulieu,The Caravan Club Collection ,Curator of The Caravan Club Collection
United States,Wellesley,The Davis Museum at Wellesley College,Assistant Registrar & Documentation Specialist
United States,Traverse City,Dennos Museum Center,Curator of Education
United Kingdom,Swansea,The Egypt Centre,Front of House Manager
Italy,Ferrara,Castello Estense,UOC Informazione e Promozione Turistica
United States,Pittsburgh,Frick Art & Historical Center,Publications and Web Manager
United States,Los Angeles,The J. Paul GettyTrust,Manager for Digital Engagement
United States,San Antonio,Guadalupe Cultural Arts Center,Visual Arts Director
United States,Dearborn,The Henry Ford,Social Media Manager
United States,Hershey,"The Hershey Story, The Museum on Chocolate Avenue",Director
United Kingdom,York,The JORVIK Group of Attractions,Marketing Officer
United Kingdom,Dorchester,The Keep Military Museum Dorchester,PR 
United Kingdom,Woking,The Lightbox,Communications and Marketing Officer
United Kingdom,Belfast,The MAC,Media & Communiations Officer
United States,Solomons,Calvert Marine Museum,Exhibits Graphic Technician
United Kingdom,Bath,The Museum of East Asian Art,Social Media Co-ordinator
United States,Charlotte,The Mint Museum,Digital Media Manager
United States,Fort Worth,Modern Art Museum of Fort Worth,Marketing Associate
United Kingdom,Worcester,Museum of Royal Worcester,Commercial Development Assistant
Canada,Kitchener,THEMUSEUM,Social media and marketing
United States,Trenton,Old Barracks Museum,Development Assistant
United Kingdom,Birmingham,Pen Museum,Administrator
Canada,Shilo,The RCA Museum,Acting Director
United Kingdom,Winchester,The Rifles Collection,Curator
Spain,Caldes de Montbui,MUSEU THERMALIA,Auxiliar de Museo
Canada,Oshawa,The Robert McLaughlin Gallery,Communications Coordinator
Canada,Saint-John's,The Rooms Corporation of NL,Marketing Manager
United States,San Jose,The Tech Museum of Innovation,Social Media Specialist
Canada,Owen Sound,Tom Thomson Art Gallery,Partnerships and Marketing Manager
Sweden,Stockholm,the Vasa Museum,Web editor
Spain,Sevilla,The Virtual Museum of Life,Programador
United States,Hartford,Wadsworth Atheneum Museum of Art,Communications Coordinator
Germany,München,The Wall Net,curator
United States,Pittsburgh,The Andy Warhol Museum,Assistant Communications Manager
United States,Greensburg,Westmoreland Museum of American Art,Manager of Communications & New Media
United Kingdom,Saint-Helens,The World of Glass,Retail/Reception Assistant
United Kingdom,London,natural history museum,curator
United States,Thomasville,Thomas County Historical Society ,Educator
United States,West Otange,Thomas Edison National Historical Park,Supervisory Museum Curator
Spain,Málaga,Museo Carmen Thyssen Málaga,Responsable Web y Nuevos medios
United Kingdom,Haltwhistle,Mr George's Museum of Time,Museum Assistant
Canada,Toronto,Timeraiser,Timeraiser Program Manager
United Kingdom,Great Yarmouth,Time & Tide Museum,Admin Assistant
Russia,Tolyatty,Tolyattinskiy kraevedcheskiy muzey,зам. директора по развитию ТКМ
United Kingdom,Ashton-under-Lyne,Tameside Museums and Galleries,Museums Manager
Canada,Toronto,Textile Museum of Canda,Marketing & Design Associate
United States,Northridge,The Museum of the San Fernando Valley,Marketing Assistant
South Korea,Seoul,The National Folk Museum of Korea,Curatorial Assistant
Japan,Tokyo, Tokyo National Museum,広報室
Japan,Tokyo,TOKYO METROPOLITAN  ART MuSEUM,広報担当
Japan,Utsunomiya,Tochigi Prefectural Museum,普及資料課
Canada,Toronto,Todmorden Mills Heritage Site,Program Officer
Spain,Madrid,Todo Cuadros,CEO
Japan,Tokushima,The Tokushima Modern Art Museum,上席学芸員
United States,Saint-Louis,TOKY Branding + Design,Digital Media Producer
Japan,Tokyo,Tokyo Art Beat,セールスマネージャー
Japan,Tokyo,Tokyo Fuji Art Museum,学芸員
United States,Toledo,Toledo Museum of Art,Social Media and Digital Communications Manager
United Kingdom,Huddersfield,Tolson Memorial Museum,Museums & Galleries Development Manager
Russia,Tomsk,Tomskiy Oblastnoy Kraevedcheskiy  Museum ,н.с. отдела маркетинга
Canada,Toronto,Toronto Railway Museum,Director
Canada,Toronto,Toronto's First Post Office,Assistant Curator
France,Toulouse,Archives municipales de Toulouse,Adjointe du directeur
France,Paris,art archéologie antiquité,community manager
United Kingdom,London,Tower Bridge,Education and Marketing Assistant
Canada,Okotoks,Town of Okotoks,Communications Specialist
United Kingdom,London,The Queen's House,Digital Marketing Officer
United States,Newark,University of Delaware Interdisciplanary Humanities Research Center,Regional Digital Humanities Coordinator
Canada,Winnipeg,Transcona Historical Museum,Curator
France,Châtillon-sur-Seine,Musée du Pays Châtillonnais - Trésor de Vix,Chargée de communication
Russia,Moscow,The State Tretyakov Gallery,специалист по связям с общественностью 
Russia,Moscow,Tsaritsyno museum,Manager
United States,Lowell,Tsongas Industrial History Center,Manager of Administration and Engagement
Argentina,La Plata,TU arte diseño,Directora
Latvia,Tukums,Tukums museum,Head of PR Department
United Kingdom,Carlisle,Tullie House Museum and Art Gallery Trust,Programming Manager - Learning & Events
France,Nantes,TU-nantes,comm
Spain,Fuentes de Andalucía,Centro de Interpretacón del Barroco de Fuentes de Andalucía (Sevilla),Responsable 
Italy,Torino,Turismo Torino e Provincia,Redazione Web e Social Media 
United Kingdom,Newcastle Upon Tyne,Tyne & Wear Archives & Museums,Corporate Communications Officer 
United Kingdom,Newcastle Upon Tyne,Tyne and Wear Archives,Communications Officer
United Kingdom,Royal Tunbridge Wells,Tunbridge Well Museum & Art Gallery,Audience Development Officer
United States,Tucson,University of Arizona Museum of Art,Marketing Manager
Argentina,Buenos Aires,UBA,Estudiante
